iso_i,iso_j,value_ij,dist_ij,rgdp_i,rgdp_j,currency_ij
ARG,GAB,8942.3289,8219.738999,3.78496E+11,12031268864,0
ARG,GBR,798839.5232,11136.96279,3.78496E+11,2.30893E+12,0
ARG,GEO,5462.525202,13501.65583,3.78496E+11,10766836736,0
ARG,GHA,27896.15473,7701.868307,3.78496E+11,25978509312,0
ARG,GRC,132057.1774,11772.03871,3.78496E+11,3.29837E+11,0
ARG,GTM,71321.94352,6217.215561,3.78496E+11,37733654528,0
ARG,HKG,218706.3213,18685.81401,3.78496E+11,2.14046E+11,0
ARG,HND,13656.15703,6085.645102,3.78496E+11,14587485184,0
ARG,HRV,99483.73212,11658.34844,3.78496E+11,62636687360,0
ARG,HUN,14763.78445,11973.1675,3.78496E+11,1.2936E+11,0
ARG,IDN,1079235.455,15581.88409,3.78496E+11,5.3958E+11,0
ARG,IND,2027304.672,15676.28452,3.78496E+11,1.36537E+12,0
ARG,IRL,269112.3317,10913.81049,3.78496E+11,2.33542E+11,0
ARG,IRN,721081.5051,13881.96079,3.78496E+11,3.62661E+11,0
ARG,IRQ,88324.43577,13251.43634,3.78496E+11,1.11661E+11,0
ARG,ISL,2640.813679,11375.39776,3.78496E+11,12823849984,0
ARG,ISR,179475.3838,12350.09745,3.78496E+11,2.06479E+11,0
ARG,ITA,956636.6805,11214.0101,3.78496E+11,2.18611E+12,0
ARG,JAM,5179.719414,5971.188422,3.78496E+11,12125023232,0
ARG,JOR,218287.8528,12429.66467,3.78496E+11,23818323968,0
ARG,JPN,615795.3716,18310.16121,3.78496E+11,5.03514E+12,0
ARG,KAZ,15397.69517,15718.94116,3.78496E+11,1.15309E+11,0
ARG,KEN,15054.40256,10647.44985,3.78496E+11,37021507584,0
ARG,KOR,597357.8415,19146.65183,3.78496E+11,9.01935E+11,0
ARG,KWT,35567.13799,13353.0362,3.78496E+11,1.05911E+11,0
